Drug,N_test,Ours_PCC,Ours_AUROC,RF_PCC,RF_AUROC,XGB_PCC,XGB_AUROC
Osimertinib,33,0.5926054104157666,0.9224137931034483,0.6939635891992338,0.9482758620689655,0.6082031692847563,0.9655172413793103
Gefitinib,28,-0.025483266633346227,0.9444444444444444,0.2663359888067273,0.8703703703703703,0.2537580446839447,0.9444444444444444
Erlotinib,37,0.6259172137936849,1.0,0.6838676213866288,1.0,0.6779620520786551,1.0
Afatinib,29,0.7706354057429018,0.79,0.637881199153082,0.84,0.4321590330128216,0.83
Lapatinib,9,-0.2781630420641314,0.3125,-0.21465040107092193,0.8125,-0.2839504902066531,0.8125
Sapitinib,7,0.4832672409400212,0.0,0.642495638103809,0.0,0.619552492914468,0.0
