Method,PCC,SCC,RMSE,AUROC,AUPRC-res,AUPRC-sens,BAcc
Random Forest,0.6979725775559725,0.5712782373956251,1.4111900916453386,0.888676844783715,0.9860189203854849,0.7004711655376065,0.8024809160305344
XGBoost,0.6282559709839416,0.5525661108302572,1.5342945111575481,0.9268447837150127,0.9923351228908478,0.6400896648385889,0.828880407124682
Ridge,0.7151602132074097,0.5536137561018527,1.3826771391625658,0.9414758269720103,0.99384499682171,0.7325813100269623,0.8101145038167938
Elastic Net,0.7150825885853894,0.5526625342035102,1.3831614996646713,0.9414758269720103,0.99384499682171,0.7325813100269623,0.8101145038167938
Ours (PTM-BDL),0.6143841561780392,0.4394908473063577,1.760182209842755,0.9090330788804071,0.9896651394071319,,0.7178753180661577
